199.40	39.75
399.40	79.70
599.60	119.70
799.60	160.55
999.80	200.85
1199.60	241.15
1399.80	281.45
1599.80	321.75
1799.60	362.05
1999.80	402.45
2199.80	442.80
2399.80	483.25
2600.00	523.70
2800.00	564.15
3000.00	604.55
3100.20	624.80
3200.00	645.00
3300.00	665.20
3400.00	685.45
3500.00	705.75
3600.00	725.95
3700.00	746.25
3800.00	766.55
3900.00	786.85
4000.20	807.15
4100.20	827.50
4200.20	847.80
4300.20	868.10
4400.20	888.45
4500.20	908.80
4600.00	929.15
4700.00	949.70
4800.20	970.05
4900.20	990.50
